mileage,make,model,fuel,gear,offerType,price,hp,year
15847,hyundai,kona,Electric/Gasoline,Automatic,Used,22291,141,2020
5,peugeot,508,Electric/Gasoline,Automatic,Pre-registered,43980,224,2021
3721,hyundai,kona,Electric,Automatic,Demonstration,44491,204,2021
0,hyundai,kona,Electric,Manual,Used,44750,204,2021
2999,mercedes-benz,gla 250,Electric/Gasoline,Automatic,Demonstration,44790,160,2021
5,hyundai,santa fe,Electric/Gasoline,Automatic,Pre-registered,44870,230,2021
5,hyundai,santa fe,Electric/Gasoline,Automatic,Pre-registered,45870,230,2021
5,hyundai,santa fe,Electric/Gasoline,Automatic,Pre-registered,45970,230,2021
50,hyundai,santa fe,Electric/Gasoline,Automatic,Demonstration,46990,265,2021
1000,opel,zafira life,Electric,Automatic,Used,47650,136,2021
55000,renault,zoe,Electric,Automatic,Used,6300,58,2015
15800,renault,twizy,Electric,unknown gear,Used,4800,11,2016
36500,lexus,is 300,Electric/Gasoline,Automatic,Used,28950,223,2018
10,seat,leon,Electric/Gasoline,Automatic,Demonstration,34970,204,2020
3418,volkswagen,id.3,Electric,Automatic,Used,35390,204,2020
9999,volkswagen,id.3,Electric,Automatic,Demonstration,35555,204,2020
11750,volkswagen,passat variant,Electric/Gasoline,Automatic,Employee's car,35990,156,2020
2080,volkswagen,id.3,Electric,Automatic,Employee's car,35990,204,2020
37330,volkswagen,passat variant,Electric/Gasoline,Automatic,Used,36390,218,2020
9999,volkswagen,golf,Electric/Gasoline,Automatic,Demonstration,36555,245,2020
6500,porsche,panamera,Electric/Gasoline,Automatic,Demonstration,135900,462,2021
9000,porsche,panamera,Electric/Gasoline,Automatic,Demonstration,155500,560,2021
3000,audi,unknown model,Electric,Automatic,Demonstration,172450,598,2021
14,suzuki,swift,Electric/Gasoline,Manual,Pre-registered,19990,129,2021
128000,toyota,auris,Electric/Gasoline,Automatic,Used,9200,99,2012
75616,toyota,yaris,Electric/Gasoline,Automatic,Used,9950,75,2013
1111,fiat,500,Electric/Gasoline,Manual,Pre-registered,13090,69,2020
50,fiat,500,Electric/Gasoline,Manual,Pre-registered,13290,69,2020
248000,peugeot,3008,Electric/Diesel,Automatic,Used,5100,163,2012
68991,renault,zoe,Electric,unknown gear,Used,6600,58,2014
46900,renault,zoe,Electric,Automatic,Used,6690,88,2016
26200,renault,zoe,Electric,Automatic,Used,6750,58,2016
133000,mercedes-benz,e 350,Electric/Gasoline,Automatic,Used,28999,286,2017
13800,bmw,i3,Electric/Gasoline,Automatic,Used,22900,170,2018
13481,toyota,camry,Electric/Gasoline,Automatic,Used,28500,218,2019
12175,toyota,corolla,Electric/Gasoline,Automatic,Used,28900,184,2019
2000,opel,zafira life,Electric,Manual,Demonstration,47490,136,2020
22300,bmw,530,Electric/Gasoline,Automatic,Used,49900,252,2020
12000,land,rover range rover evoque,Electric/Gasoline,Automatic,Demonstration,53350,200,2020
1,lexus,nx 300,Electric/Gasoline,Automatic,Used,48980,197,2021
2297,bmw,x2,Electric/Gasoline,Automatic,Demonstration,49730,220,2021
10000,bmw,330,Electric/Gasoline,Automatic,Demonstration,57290,292,2021
1500,skoda,enyaq,Electric,Manual,Demonstration,57460,204,2021
136450,toyota,yaris,Electric/Gasoline,Automatic,Used,8450,75,2013
19990,renault,zoe,Electric,Automatic,Used,8990,88,2016
20,subaru,xv,Electric/Gasoline,Automatic,Pre-registered,25990,150,2020
150,hyundai,i30,Electric/Gasoline,Manual,Demonstration,26990,160,2020
25,subaru,xv,Electric/Gasoline,Automatic,Pre-registered,27590,150,2020
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,13840,69,2021
37985,renault,zoe,Electric,Automatic,Used,7988,92,2015
58390,renault,zoe,Electric,Automatic,Used,6888,92,2016
56760,volvo,v60,Electric/Gasoline,Automatic,Used,44900,392,2019
8900,tesla,model 3,Electric,Automatic,Used,54988,513,2019
20684,volkswagen,passat variant,Electric/Gasoline,Automatic,Used,36990,218,2020
8000,skoda,octavia,Electric/Gasoline,Automatic,Demonstration,38888,204,2020
93709,toyota,auris,Electric/Gasoline,Automatic,Used,7990,99,2011
101000,toyota,prius,Electric/Gasoline,Automatic,Used,8980,99,2012
91000,toyota,yaris,Electric/Gasoline,Automatic,Used,9990,101,2013
184944,volkswagen,jetta,Electric/Gasoline,Automatic,Used,10000,150,2013
67988,toyota,yaris,Electric/Gasoline,Automatic,Used,10490,101,2014
40962,volvo,v90,Electric/Gasoline,Automatic,Used,47960,303,2019
12600,ford,fiesta,Electric/Gasoline,Manual,Employee's car,15480,125,2020
15,fiat,500,Electric/Gasoline,Manual,Pre-registered,13480,69,2021
71500,toyota,prius,Electric/Gasoline,Automatic,Used,8900,99,2011
87500,toyota,auris,Electric/Gasoline,Automatic,Used,8900,99,2012
1100,volkswagen,golf,Electric,Automatic,Used,24490,136,2019
6855,ford,mondeo,Electric/Gasoline,Automatic,Employee's car,23970,188,2020
9615,ford,focus,Electric/Gasoline,Manual,Employee's car,23990,155,2020
66083,audi,q7,Electric/Diesel,Automatic,Used,58870,258,2018
20,ford,puma,Electric/Gasoline,Manual,Used,22650,125,2020
5060,ford,puma,Electric/Gasoline,Manual,Used,22770,125,2020
9955,ford,puma,Electric/Gasoline,Manual,Used,22990,125,2020
2,kia,sorento,Electric/Gasoline,Automatic,Used,49450,265,2021
12,hyundai,santa fe,Electric/Gasoline,Automatic,Pre-registered,49990,230,2021
5,kia,sorento,Electric/Gasoline,Automatic,Demonstration,50979,265,2021
3000,hyundai,tucson,Electric/Gasoline,Automatic,Demonstration,52320,265,2021
5,jeep,compass,Electric/Gasoline,Automatic,Demonstration,53140,239,2021
199,peugeot,508,Electric/Gasoline,Automatic,Demonstration,58880,360,2021
12,kia,sorento,Electric/Gasoline,Automatic,Demonstration,61990,179,2021
24900,ford,mondeo,Electric/Gasoline,Automatic,Used,23400,188,2019
23000,ford,kuga,Electric/Gasoline,Automatic,Used,37350,224,2020
4999,volkswagen,golf,Electric/Gasoline,Automatic,Demonstration,30880,245,2021
25,mini,cooper se,Electric,Automatic,Demonstration,37980,184,2021
3950,volkswagen,golf,Electric/Gasoline,Automatic,Demonstration,39950,204,2021
43500,renault,kangoo,Electric,Automatic,Used,11500,60,2014
46597,volkswagen,unknown model,Electric,Automatic,Used,10490,82,2015
46227,toyota,yaris,Electric/Gasoline,Automatic,Used,10690,101,2015
15670,smart,fortwo,Electric,Automatic,Used,12990,82,2019
1000,fiat,500,Electric/Gasoline,Manual,Demonstration,13750,69,2020
25,fiat,500,Electric/Gasoline,Manual,Pre-registered,13890,69,2020
10,fiat,500c,Electric/Gasoline,Manual,Pre-registered,16990,69,2021
49900,renault,zoe,Electric,Automatic,Used,6690,58,2013
68000,renault,zoe,Electric,Automatic,Used,6750,88,2014
16176,renault,twizy,Electric,unknown gear,Used,7150,11,2015
23500,renault,zoe,Electric,Automatic,Used,6950,58,2016
30000,mercedes-benz,glc 350,Electric/Gasoline,Automatic,Used,34999,320,2017
46252,toyota,rav 4,Electric/Gasoline,Automatic,Used,24590,197,2018
16780,toyota,prius,Electric/Gasoline,Automatic,Used,25990,122,2018
21400,mitsubishi,outlander,Electric/Gasoline,Automatic,Used,32700,135,2019
28612,bmw,530,Electric/Gasoline,Automatic,Used,35860,184,2019
27785,lexus,unknown model,Electric/Gasoline,Automatic,Used,35990,197,2019
20000,ford,explorer,Electric/Gasoline,Automatic,Demonstration,67250,363,2020
1000,suzuki,ignis,Electric/Gasoline,Automatic,Demonstration,15790,83,2021
103200,toyota,yaris,Electric/Gasoline,Automatic,Used,8990,101,2013
11023,smart,fortwo,Electric,Automatic,Used,10490,82,2018
10988,renault,zoe,Electric,Automatic,Used,11975,92,2019
7500,hyundai,ioniq,Electric/Gasoline,Automatic,Demonstration,27990,105,2020
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,14340,69,2021
10,suzuki,ignis,Electric/Gasoline,Manual,Used,14990,83,2021
397000,toyota,prius,Electric/Gasoline,Automatic,Used,7100,99,2016
6098,mercedes-benz,c 300,Electric/Gasoline,Automatic,Employee's car,41630,211,2020
6382,mercedes-benz,c 300,Electric/Gasoline,Automatic,Employee's car,42498,211,2020
7184,skoda,superb,Electric/Gasoline,Automatic,Used,43444,218,2020
6500,land,rover range rover evoque,Electric/Diesel,Automatic,Used,48945,179,2020
9500,skoda,superb,Electric/Gasoline,Automatic,Demonstration,51480,156,2020
12410,mercedes-benz,e 300,Electric/Diesel,Automatic,Employee's car,52587,194,2020
45740,volkswagen,up!,Electric,Automatic,Used,10450,82,2013
127500,toyota,auris,Electric/Gasoline,Automatic,Used,10790,136,2013
10,nissan,leaf,Electric,Automatic,Used,10850,109,2014
59000,nissan,leaf,Electric,Automatic,Used,11990,109,2015
15990,audi,e-tron,Electric,Automatic,Used,63940,408,2019
14300,ford,fiesta,Electric/Gasoline,Manual,Employee's car,15580,125,2020
7150,seat,mii,Electric,Automatic,Used,16440,83,2020
15,fiat,500,Electric/Gasoline,Manual,Pre-registered,13780,69,2021
15,fiat,500c,Electric/Gasoline,Manual,Pre-registered,14280,69,2021
65000,honda,jazz,Electric/Gasoline,Automatic,Used,9890,88,2011
104900,toyota,auris,Electric/Gasoline,Automatic,Used,9490,136,2012
99943,toyota,auris,Electric/Gasoline,Automatic,Used,9499,99,2012
15645,ford,mondeo,Electric/Gasoline,Automatic,Employee's car,26990,188,2020
750,renault,captur,Electric/Gasoline,Automatic,Demonstration,28600,91,2021
2966,skoda,enyaq,Electric,Automatic,Demonstration,51280,204,2021
41721,renault,zoe,Electric,Automatic,Used,6850,58,2015
51889,toyota,yaris,Electric/Gasoline,Automatic,Used,12240,99,2017
23670,toyota,yaris,Electric/Gasoline,Automatic,Used,13999,101,2017
46124,toyota,yaris,Electric/Gasoline,Automatic,Used,14190,99,2017
78555,toyota,auris,Electric/Gasoline,Automatic,Used,14920,136,2017
88830,toyota,yaris,Electric/Gasoline,Automatic,Used,13666,101,2018
31492,toyota,yaris,Electric/Gasoline,Automatic,Used,14260,99,2018
32106,toyota,yaris,Electric/Gasoline,Automatic,Used,14953,99,2018
14196,volvo,xc60,Electric/Diesel,Automatic,Used,38890,197,2019
10,hyundai,ioniq,Electric/Gasoline,Automatic,Demonstration,23650,105,2020
7500,ford,focus,Electric/Gasoline,Manual,Employee's car,23950,125,2020
2000,volvo,s90,Electric/Gasoline,Automatic,Demonstration,64980,303,2021
4500,ford,explorer,Electric/Gasoline,Automatic,Demonstration,66990,457,2021
100,ford,mustang,Electric,Automatic,Demonstration,69980,337,2021
1500,audi,a6,Electric/Gasoline,Automatic,Used,70950,367,2021
2350,audi,a6,Electric/Gasoline,Automatic,Demonstration,79773,252,2021
26000,smart,fortwo,Electric,unknown gear,Used,6800,48,2015
59168,lexus,es 300,Electric/Gasoline,Automatic,Used,36470,218,2018
35,skoda,octavia,Electric/Gasoline,Automatic,Pre-registered,38890,150,2020
4500,kia,sorento,Electric/Gasoline,Automatic,Demonstration,49989,265,2021
25,bmw,330,Electric/Gasoline,Automatic,Demonstration,54680,292,2021
4496,bmw,330,Electric/Gasoline,Automatic,Demonstration,58880,292,2021
25,bmw,x5,Electric/Gasoline,Automatic,Demonstration,89980,394,2021
121000,toyota,prius,Electric/Gasoline,Automatic,Used,10750,99,2012
227248,mercedes-benz,e 300,Electric/Diesel,Automatic,Used,11480,204,2013
25,fiat,500,Electric/Gasoline,Manual,Pre-registered,14490,69,2020
800,mazda,2,Electric/Gasoline,Manual,Demonstration,16990,90,2021
42500,smart,fortwo,Electric,Automatic,Used,6900,48,2014
58599,renault,zoe,Electric,Automatic,Used,7440,88,2015
46950,renault,zoe,Electric,Automatic,Used,7000,58,2016
46525,volvo,v60,Electric/Diesel,Automatic,Used,28339,220,2018
6550,ford,focus,Electric/Gasoline,Manual,Employee's car,21669,125,2020
10,suzuki,sx4 s-cross,Electric/Gasoline,Manual,Pre-registered,23900,129,2021
1500,kia,niro,Electric/Gasoline,Automatic,Demonstration,28900,105,2021
398,kia,niro,Electric/Gasoline,Automatic,Demonstration,31300,105,2021
900,peugeot,208,Electric,Automatic,Demonstration,32500,77,2021
35400,nissan,leaf,Electric,Automatic,Used,8998,109,2013
37058,toyota,yaris,Electric/Gasoline,Automatic,Used,10330,101,2015
12812,renault,zoe,Electric,Automatic,Used,9975,92,2016
13500,renault,zoe,Electric,Automatic,Used,7900,88,2017
24200,renault,zoe,Electric,Automatic,Used,10990,92,2018
7600,renault,zoe,Electric,Automatic,Demonstration,12250,58,2019
10153,smart,forfour,Electric,Automatic,Used,12270,82,2019
5259,ford,kuga,Electric/Gasoline,Automatic,Employee's car,34985,152,2020
12852,mercedes-benz,c 300,Electric/Gasoline,Automatic,Employee's car,36480,211,2020
1756,seat,leon,Electric/Gasoline,Automatic,Demonstration,37450,204,2020
6500,mitsubishi,outlander,Electric/Gasoline,Automatic,Demonstration,39993,135,2020
11000,volvo,s90,Electric/Gasoline,Automatic,Used,57900,405,2020
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,12921,69,2021
25900,toyota,yaris,Electric/Gasoline,Automatic,Used,10990,75,2013
39700,toyota,yaris,Electric/Gasoline,Automatic,Used,11590,101,2014
64000,bmw,i3,Electric,Automatic,Used,12150,102,2015
47500,volkswagen,up!,Electric,Automatic,Used,10990,82,2016
34900,smart,fortwo,Electric,Automatic,Used,8999,82,2017
36552,smart,forfour,Electric,Automatic,Used,9190,82,2018
7300,ford,focus,Electric/Gasoline,Manual,Employee's car,18680,125,2020
1370,fiat,500,Electric/Gasoline,Manual,Used,14480,69,2021
15,fiat,500c,Electric/Gasoline,Manual,Pre-registered,14780,69,2021
72700,toyota,auris,Electric/Gasoline,Automatic,Used,10990,136,2011
68483,honda,cr-z,Electric/Gasoline,Manual,Used,9889,114,2012
66500,toyota,auris,Electric/Gasoline,Automatic,Used,9900,99,2012
19700,renault,zoe,Electric,Automatic,Used,8995,92,2017
14060,smart,fortwo,Electric,Automatic,Used,9250,56,2018
770,mazda,mx-30,Electric,Automatic,Demonstration,27990,110,2020
5500,seat,leon,Electric/Gasoline,Automatic,Demonstration,29900,204,2020
1111,seat,leon,Electric/Gasoline,Automatic,Demonstration,29950,150,2020
6000,toyota,camry,Electric/Gasoline,Automatic,Used,29990,218,2020
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,10898,69,2021
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,11688,69,2021
62072,toyota,auris,Electric/Gasoline,Automatic,Used,14999,136,2017
55930,toyota,auris,Electric/Gasoline,Automatic,Used,15947,136,2017
52650,toyota,auris,Electric/Gasoline,Automatic,Used,16650,136,2017
44540,toyota,auris,Electric/Gasoline,Automatic,Used,17865,136,2017
56240,toyota,auris,Electric/Gasoline,Automatic,Used,15850,136,2018
35810,toyota,auris,Electric/Gasoline,Automatic,Used,15890,136,2018
19089,toyota,auris,Electric/Gasoline,Automatic,Used,17490,136,2018
18910,toyota,auris,Electric/Gasoline,Automatic,Used,17677,136,2018
77640,toyota,c-hr,Electric/Gasoline,Automatic,Used,18790,122,2018
59495,toyota,c-hr,Electric/Gasoline,Automatic,Used,18850,122,2018
19500,kia,niro,Electric,Automatic,Demonstration,42990,204,2019
17346,volvo,xc60,Electric/Diesel,Automatic,Used,43980,235,2019
17300,volvo,s90,Electric/Gasoline,Automatic,Used,45440,392,2019
5990,ford,puma,Electric/Gasoline,Manual,Used,24480,155,2020
10,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,24650,105,2020
4000,ford,puma,Electric/Gasoline,Manual,Used,24720,155,2020
50,hyundai,kona,Electric/Gasoline,Automatic,Demonstration,24750,141,2020
1100,audi,e-tron,Electric,Automatic,Used,176980,598,2021
15558,volkswagen,golf,Electric,Automatic,Used,16555,116,2017
32107,volvo,s90,Electric/Gasoline,Automatic,Used,43990,390,2019
180,opel,zafira life,Electric,Automatic,Used,41990,136,2020
13990,volvo,xc40,Electric/Gasoline,Automatic,Used,42990,261,2020
10,suzuki,swift,Electric/Gasoline,Manual,Demonstration,17990,83,2021
25,ford,fiesta,Electric/Gasoline,Manual,Pre-registered,18970,125,2021
25,ford,fiesta,Electric/Gasoline,Manual,Pre-registered,19270,155,2021
57300,volkswagen,golf,Electric,Automatic,Used,13390,116,2014
20540,volkswagen,up!,Electric,Automatic,Used,11850,82,2015
109638,toyota,yaris,Electric/Gasoline,Automatic,Used,9950,101,2016
50,fiat,500c,Electric/Gasoline,Manual,Pre-registered,14490,69,2020
50,fiat,500,Electric/Gasoline,Manual,Pre-registered,14790,69,2020
3500,suzuki,swift,Electric/Gasoline,Manual,Demonstration,14890,90,2020
5000,smart,forfour,Electric,Automatic,Demonstration,14949,82,2020
20,renault,twingo,Electric,Automatic,Demonstration,17490,83,2021
10,fiat,500c,Electric/Gasoline,Manual,Pre-registered,17850,69,2021
63900,renault,zoe,Electric,Automatic,Used,7775,58,2015
52661,renault,zoe,Electric,Automatic,Used,7500,92,2016
44599,renault,zoe,Electric,Automatic,Used,7540,88,2016
34124,renault,zoe,Electric,Automatic,Used,7590,88,2016
75800,bmw,530,Electric/Gasoline,Automatic,Used,29960,184,2018
56428,bmw,530,Electric/Gasoline,Automatic,Used,34780,184,2018
18700,bmw,530,Electric/Gasoline,Automatic,Used,35400,252,2018
14958,land,rover range rover sport,Electric/Gasoline,Automatic,Used,83890,404,2019
10379,ford,focus,Electric/Gasoline,Manual,Employee's car,23119,155,2020
10028,ford,focus,Electric/Gasoline,Manual,Employee's car,23229,155,2020
4500,mazda,mx-30,Electric,Automatic,Demonstration,24140,110,2020
2179,toyota,corolla,Electric/Gasoline,Automatic,Employee's car,24980,122,2020
10,fiat,500e,Electric,Automatic,Pre-registered,33994,117,2021
10,mazda,mx-30,Electric,Automatic,Demonstration,34990,110,2021
3000,skoda,enyaq,Electric,Automatic,Used,49890,204,2021
1500,kia,sorento,Electric/Gasoline,Automatic,Demonstration,56990,265,2021
61900,toyota,yaris,Electric/Gasoline,Automatic,Used,9595,75,2013
4354,skoda,octavia,Electric/Gasoline,Automatic,Demonstration,43980,245,2020
6000,skoda,superb,Electric/Gasoline,Automatic,Demonstration,45980,218,2020
2959,mercedes-benz,glc 300,Electric/Diesel,Automatic,Employee's car,50880,194,2020
2810,mercedes-benz,glc 300,Electric/Diesel,Automatic,Employee's car,51480,194,2020
2500,suzuki,swift,Electric/Gasoline,Manual,Demonstration,15998,83,2021
73000,toyota,yaris,Electric/Gasoline,Automatic,Used,9400,75,2014
156,hyundai,ioniq,Electric,Automatic,Used,22990,120,2019
14798,toyota,corolla,Electric/Gasoline,Automatic,Used,23359,122,2019
22450,kia,niro,Electric/Gasoline,Automatic,Used,23990,141,2019
9645,toyota,corolla,Electric/Gasoline,Automatic,Used,25626,122,2019
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,14352,69,2020
10,fiat,500c,Electric/Gasoline,Manual,Pre-registered,15990,69,2020
105800,toyota,prius,Electric/Gasoline,Automatic,Used,11494,136,2013
22000,nissan,leaf,Electric,Automatic,Used,12900,109,2015
66300,renault,zoe,Electric,Automatic,Used,9350,58,2017
31000,smart,fortwo,Electric,Automatic,Used,9699,82,2017
18190,smart,forfour,Electric,Automatic,Used,9590,82,2018
19082,smart,forfour,Electric,Automatic,Used,9790,82,2018
1900,ford,puma,Electric/Gasoline,Manual,Employee's car,20180,125,2020
24100,ford,puma,Electric/Gasoline,Manual,Employee's car,20980,155,2020
43800,toyota,yaris,Electric/Gasoline,Automatic,Used,10390,101,2012
88000,toyota,auris,Electric/Gasoline,Automatic,Used,11440,136,2014
128782,volkswagen,golf,Electric,Automatic,Used,11689,116,2014
22217,volkswagen,up!,Electric,Automatic,Used,9990,82,2016
77856,toyota,yaris,Electric/Gasoline,Automatic,Used,9990,75,2016
13029,audi,a3,Electric/Gasoline,Automatic,Used,30890,204,2020
14900,audi,a3,Electric/Gasoline,Automatic,Employee's car,31450,204,2020
1111,seat,leon,Electric/Gasoline,Automatic,Demonstration,31450,150,2020
2,fiat,500,Electric/Gasoline,Manual,Demonstration,11978,69,2021
2,fiat,500,Electric/Gasoline,Manual,Demonstration,12164,69,2021
127000,renault,zoe,Electric,unknown gear,Used,5999,58,2013
103954,toyota,rav 4,Electric/Gasoline,Automatic,Used,21978,197,2017
33390,toyota,rav 4,Electric/Gasoline,Automatic,Used,21999,197,2017
97839,toyota,rav 4,Electric/Gasoline,Automatic,Used,22480,197,2017
63248,toyota,rav 4,Electric/Gasoline,Automatic,Used,23470,197,2017
84229,toyota,rav 4,Electric/Gasoline,Automatic,Used,23970,197,2018
2500,ford,puma,Electric/Gasoline,Manual,Demonstration,24790,125,2020
4900,ford,puma,Electric/Gasoline,Manual,Used,25290,155,2020
50,fiat,500c,Electric/Gasoline,Manual,Used,14650,69,2021
10,smart,fortwo,Electric,Automatic,Demonstration,20299,56,2021
10,smart,fortwo,Electric,Automatic,Pre-registered,21877,56,2021
55000,smart,fortwo,Electric,Automatic,Used,6099,75,2013
49850,toyota,c-hr,Electric/Gasoline,Automatic,Used,18460,122,2017
63257,volkswagen,golf,Electric,Automatic,Used,18480,136,2017
43134,toyota,c-hr,Electric/Gasoline,Automatic,Used,18860,122,2017
37500,toyota,c-hr,Electric/Gasoline,Automatic,Used,18960,122,2017
8348,toyota,c-hr,Electric/Gasoline,Automatic,Used,19950,98,2017
16500,volvo,xc40,Electric/Gasoline,Automatic,Demonstration,43330,211,2020
1447,volvo,xc40,Electric/Gasoline,Automatic,Used,44990,261,2020
5000,volvo,xc40,Electric/Gasoline,Automatic,Used,46480,261,2020
16851,volvo,v60,Electric/Gasoline,Automatic,Used,46940,390,2020
5,aixam,unknown model,Electric,Automatic,Pre-registered,22180,0,2021
